phos	tf	splen
Q05586	P26358	inf
Q05586	P03372	inf
Q05586	Q15596	inf
Q05586	Q01543	inf
Q05586	P61244	inf
Q05586	Q15672	inf
Q05586	P48436	inf
Q05586	Q99583	inf
Q05586	Q9Y5W3	inf
Q05586	Q06330	inf
Q05586	Q99717	inf
Q05586	Q13950	inf
Q05586	P05412	inf
Q05586	O15525	inf
Q05586	O14770	inf
Q05586	P08151	inf
Q05586	Q15233	inf
Q05586	P23511	inf
Q05586	P21675	inf
Q05586	P19793	inf
Q05586	Q13568	inf
Q05586	P10914	inf
Q05586	P25490	inf
Q05586	Q99612	inf
Q05586	P10244	inf
Q05586	P06401	inf
Q05586	P49715	inf
Q05586	P25963	inf
Q05586	Q01201	inf
Q05586	O00327	inf
Q05586	P15172	inf
Q05586	P98177	inf
Q05586	P01100	inf
Q05586	Q00613	inf
Q05586	O75469	inf
Q05586	P10071	inf
Q05586	P10242	inf
Q05586	Q13562	inf
Q05586	P18846	inf
Q05586	O15350	inf
Q05586	Q15796	inf
Q05586	P18847	inf
Q05586	Q99814	inf
Q05586	P10275	inf
Q05586	P27540	inf
Q05586	P16220	inf
Q05586	Q13127	inf
Q05586	P19838	inf
Q05586	O94776	inf
Q05586	Q08945	inf
Q05586	P17535	inf
Q05586	Q15329	inf
Q05586	Q9UGL1	inf
Q05586	O43474	inf
Q05586	Q9UJU2	inf
Q05586	P15336	inf
Q05586	P42229	inf
Q05586	Q5VTD9	inf
Q05586	P31269	inf
Q05586	Q15797	inf
Q05586	O75626	inf
Q05586	P26367	inf
Q05586	P15407	inf
Q05586	P20823	inf
Q05586	P22736	inf
Q05586	Q06546	inf
Q05586	P15923	inf
Q05586	P52630	inf
Q05586	P23771	inf
Q05586	O75461	inf
Q05586	P10070	inf
Q05586	Q9UL17	inf
Q05586	P20226	inf
Q05586	P04150	inf
Q05586	O75376	inf
Q05586	P17676	inf
Q05586	O94916	inf
Q05586	Q08050	inf
Q05586	P36402	inf
Q05586	Q9UKL0	inf
Q05586	P67809	inf
Q05586	P32243	inf
Q05586	Q02535	inf
Q05586	Q16656	inf
Q05586	Q01196	inf
Q05586	P10276	inf
Q05586	Q15788	inf
Q05586	O75030	inf
Q05586	Q00653	inf
Q05586	Q12778	inf
Q05586	Q16254	inf
Q05586	Q02548	inf
Q05586	Q9BQA5	inf
Q05586	P35398	inf
Q05586	P11831	inf
Q05586	P18146	inf
Q05586	O14867	inf
Q05586	Q92786	inf
Q05586	Q9NQB0	inf
Q05586	P84022	inf
Q05586	Q8TAQ2	inf
Q05586	P18848	inf
Q05586	Q14653	inf
Q05586	Q9UIS9	inf
Q05586	P37231	inf
Q05586	O00716	inf
Q05586	Q13761	inf
Q05586	Q14469	inf
Q05586	P17861	inf
Q05586	P49116	inf
Q05586	O43524	inf
Q05586	P40763	inf
Q05586	P42224	inf
Q05586	Q96AV8	inf
Q05586	P15976	inf
Q05586	P23246	inf
Q05586	Q01094	inf
Q05586	Q06710	inf
Q05586	P01106	inf
Q05586	Q9Y6Q9	inf
Q05586	P17275	inf
Q05586	Q92985	inf
Q05586	P48431	inf
Q05586	Q9UBC3	inf
Q05586	Q04206	inf
Q05586	P14859	inf
Q05586	O60381	inf
Q05586	Q14526	inf
Q05586	P11473	inf
Q05586	P20749	inf
Q05586	Q92922	inf
Q05586	P17947	inf
Q05586	P22415	inf
Q05586	Q13485	inf
Q05586	Q9H3D4	inf
Q05586	Q14209	inf
Q05586	Q99856	inf
Q05586	Q04864	inf
Q05586	Q12772	inf
Q05586	P55347	inf
Q05586	P04637	inf
Q05586	Q00978	inf
Q05586	Q13469	inf
Q05586	O43889	inf
Q05586	P10827	inf
Q05586	Q9Y5J3	inf
Q05586	P14316	inf
Q05586	P17542	inf
Q05586	Q15306	inf
Q05586	P78545	inf
Q05586	Q9NPC7	inf
Q05586	P10826	inf
Q05586	Q9Y5Q3	inf
Q05586	O95863	inf
Q05586	O95644	inf
Q05586	Q13133	inf
Q05586	Q96RI1	inf
Q05586	Q03181	inf
Q05586	P17544	inf
Q05586	P15408	inf
Q05586	P15884	inf
Q05586	Q16621	inf
Q05586	P14921	inf
Q05586	P08235	inf
Q05586	Q13887	inf
Q05586	P55055	inf
Q05586	P32519	inf
Q05586	P19419	inf
Q05586	P23769	inf
Q05586	P28324	inf
Q05586	Q05215	inf
Q05586	Q92731	inf
Q05586	P17028	inf
Q05586	Q14934	inf
Q05586	P41235	inf
Q05586	P35869	inf
Q05586	P24468	inf
Q05586	P13631	inf
Q05586	P53567	inf
Q05586	P28702	inf
Q05586	Q14186	inf
Q05586	O00482	inf
Q05586	P49716	inf
Q05586	Q02080	inf
Q05586	Q03060	inf
Q05586	Q16650	inf
Q05586	Q9ULX9	inf
Q05586	Q05066	inf
Q05586	P22670	inf
Q05586	Q92481	inf
Q05586	O00470	inf
Q05586	Q02446	inf
Q05586	Q06413	inf
Q05586	Q01167	inf
Q05586	P50539	inf
Q05586	O60315	inf
Q05586	P17480	inf
Q05586	O75364	inf
Q05586	Q99626	inf
Q05586	Q12837	inf
Q05586	O15266	inf
Q05586	P10588	inf
Q05586	P50549	inf
Q05586	P50458	inf
Q05586	Q9Y261	inf
Q05586	Q01664	inf
Q05586	Q01860	inf
Q05586	P48443	inf
Q05586	P10243	inf
Q05586	Q13351	inf
Q05586	P10589	inf
Q05586	P15036	inf
Q05586	Q15562	inf
Q05586	P35680	inf
Q05586	Q9UH73	inf
Q05586	P55317	inf
Q05586	P50553	inf
Q05586	Q15561	inf
Q05586	Q92908	inf
Q05586	P40426	inf
Q05586	Q9Y2Y9	inf
Q05586	P56693	inf
Q05586	P48382	inf
Q05586	Q70SY1	inf
Q05586	P56270	inf
Q05586	Q92570	inf
Q05586	P09629	inf
Q05586	P09086	inf
Q05586	P28347	inf
Q05586	P08651	inf
Q05586	P58012	inf
Q05586	Q96BA8	inf
Q05586	P37275	inf
Q05586	Q13952	inf
Q05586	Q13422	inf
Q05586	P19544	inf
Q05586	P05549	inf
Q05586	Q01892	inf
Q05586	Q12968	inf
Q05586	O43623	inf
Q05586	Q15853	inf
Q05586	O95625	inf
Q05586	P52945	inf
Q05586	Q9UKY1	inf
Q05586	O14497	inf
Q05586	Q9H9S0	inf
Q05586	P57682	inf
Q05586	Q03014	inf
Q05586	P11308	inf
Q05586	P11474	inf
Q05586	Q12952	inf
Q05586	Q00577	inf
Q05586	P43694	inf
Q05586	P40425	inf
Q05586	P12980	inf
Q05586	P20265	inf
Q05586	Q9BYV9	inf
P17252	Q07869	1.0
P17252	Q13330	2.0
P17252	O15516	2.0
P17252	P41182	2.0
P17252	P49711	4.0
P17252	P08047	2.0
P17252	Q9Y618	2.0
P17252	O75444	2.0
P17252	Q03164	3.0
P17252	O60675	3.0
P17252	P35638	2.0
P17252	Q02078	2.0
P17252	P36956	2.0
P17252	Q02447	2.0
P17252	Q16236	1.0
P17252	P25208	2.0
P17252	Q99801	1.0
P17252	P04198	3.0
P17252	Q9UM63	2.0
P17252	Q02962	3.0
P17252	P51692	2.0
P17252	Q16665	2.0
P17252	P26358	2.0
P17252	P03372	2.0
P17252	Q15596	2.0
P17252	Q01543	2.0
P17252	P61244	3.0
P17252	Q15672	2.0
P17252	P48436	2.0
P17252	Q99583	4.0
P17252	Q9Y5W3	inf
P17252	Q06330	2.0
P17252	Q99717	3.0
P17252	Q13950	2.0
P17252	P05412	2.0
P17252	O15525	2.0
P17252	O14770	inf
P17252	P08151	2.0
P17252	Q15233	3.0
P17252	P23511	2.0
P17252	P21675	2.0
P17252	P19793	2.0
P17252	Q13568	2.0
P17252	P10914	2.0
P17252	P25490	2.0
P17252	Q99612	inf
P17252	P10244	3.0
P17252	P06401	2.0
P17252	P49715	2.0
P17252	P25963	2.0
P17252	Q01201	2.0
P17252	O00327	2.0
P17252	P15172	1.0
P17252	P98177	2.0
P17252	P01100	2.0
P17252	Q00613	2.0
P17252	O75469	3.0
P17252	P10071	2.0
P17252	P10242	2.0
P17252	Q13562	2.0
P17252	P18846	3.0
P17252	O15350	1.0
P17252	Q15796	2.0
P17252	P18847	2.0
P17252	Q99814	2.0
P17252	P10275	1.0
P17252	P27540	2.0
P17252	P16220	2.0
P17252	Q13127	6.0
P17252	P19838	2.0
P17252	O94776	3.0
P17252	Q08945	3.0
P17252	P17535	2.0
P17252	Q15329	3.0
P17252	Q9UGL1	3.0
P17252	O43474	3.0
P17252	Q9UJU2	2.0
P17252	P15336	1.0
P17252	P42229	2.0
P17252	Q5VTD9	3.0
P17252	P31269	4.0
P17252	Q15797	2.0
P17252	O75626	2.0
P17252	P26367	3.0
P17252	P15407	2.0
P17252	P20823	2.0
P17252	P22736	2.0
P17252	Q06546	2.0
P17252	P15923	2.0
P17252	P52630	2.0
P17252	P23771	3.0
P17252	O75461	3.0
P17252	P10070	2.0
P17252	Q9UL17	2.0
P17252	P20226	3.0
P17252	P04150	2.0
P17252	O75376	1.0
P17252	P17676	2.0
P17252	O94916	2.0
P17252	Q08050	2.0
P17252	P36402	2.0
P17252	Q9UKL0	5.0
P17252	P67809	2.0
P17252	P32243	3.0
P17252	Q02535	3.0
P17252	Q16656	2.0
P17252	Q01196	2.0
P17252	P10276	2.0
P17252	Q15788	2.0
P17252	O75030	2.0
P17252	Q00653	2.0
P17252	Q12778	2.0
P17252	Q16254	2.0
P17252	Q02548	inf
P17252	Q9BQA5	4.0
P17252	P35398	1.0
P17252	P11831	1.0
P17252	P18146	2.0
P17252	O14867	inf
P17252	Q92786	inf
P17252	Q9NQB0	2.0
P17252	P84022	2.0
P17252	Q8TAQ2	2.0
P17252	P18848	2.0
P17252	Q14653	2.0
P17252	Q9UIS9	inf
P17252	P37231	2.0
P17252	O00716	3.0
P17252	Q13761	2.0
P17252	Q14469	1.0
P17252	P17861	2.0
P17252	P49116	2.0
P17252	O43524	2.0
P17252	P40763	2.0
P17252	P42224	2.0
P17252	Q96AV8	inf
P17252	P15976	2.0
P17252	P23246	2.0
P17252	Q01094	2.0
P17252	Q06710	3.0
P17252	P01106	2.0
P17252	Q9Y6Q9	2.0
P17252	P17275	2.0
P17252	Q92985	3.0
P17252	P48431	2.0
P17252	Q9UBC3	4.0
P17252	Q04206	2.0
P17252	P14859	3.0
P17252	O60381	3.0
P17252	Q14526	2.0
P17252	P11473	1.0
P17252	P20749	2.0
P17252	Q92922	2.0
P17252	P17947	3.0
P17252	P22415	2.0
P17252	Q13485	2.0
P17252	Q9H3D4	2.0
P17252	Q14209	3.0
P17252	Q99856	2.0
P17252	Q04864	2.0
P17252	Q12772	2.0
P17252	P55347	inf
P17252	P04637	1.0
P17252	Q00978	2.0
P17252	Q13469	2.0
P17252	O43889	inf
P17252	P10827	3.0
P17252	Q9Y5J3	2.0
P17252	P14316	2.0
P17252	P17542	2.0
P17252	Q15306	3.0
P17252	P78545	2.0
P17252	Q9NPC7	4.0
P17252	P10826	2.0
P17252	Q9Y5Q3	2.0
P17252	O95863	2.0
P17252	O95644	1.0
P17252	Q13133	2.0
P17252	Q96RI1	1.0
P17252	Q03181	2.0
P17252	P17544	3.0
P17252	P15408	3.0
P17252	P15884	2.0
P17252	Q16621	3.0
P17252	P14921	2.0
P17252	P08235	3.0
P17252	Q13887	1.0
P17252	P55055	2.0
P17252	P32519	2.0
P17252	P19419	2.0
P17252	P23769	2.0
P17252	P28324	2.0
P17252	Q05215	2.0
P17252	Q92731	3.0
P17252	P17028	3.0
P17252	Q14934	1.0
P17252	P41235	2.0
P17252	P35869	1.0
P17252	P24468	3.0
P17252	P13631	2.0
P17252	P53567	3.0
P17252	P28702	2.0
P17252	Q14186	3.0
P17252	O00482	3.0
P17252	P49716	inf
P17252	Q02080	2.0
P17252	Q03060	1.0
P17252	Q16650	4.0
P17252	Q9ULX9	inf
P17252	Q05066	4.0
P17252	P22670	2.0
P17252	Q92481	inf
P17252	O00470	inf
P17252	Q02446	inf
P17252	Q06413	2.0
P17252	Q01167	3.0
P17252	P50539	4.0
P17252	O60315	4.0
P17252	P17480	2.0
P17252	O75364	inf
P17252	Q99626	2.0
P17252	Q12837	inf
P17252	O15266	3.0
P17252	P10588	1.0
P17252	P50549	3.0
P17252	P50458	inf
P17252	Q9Y261	2.0
P17252	Q01664	inf
P17252	Q01860	2.0
P17252	P48443	3.0
P17252	P10243	3.0
P17252	Q13351	2.0
P17252	P10589	3.0
P17252	P15036	2.0
P17252	Q15562	3.0
P17252	P35680	4.0
P17252	Q9UH73	inf
P17252	P55317	3.0
P17252	P50553	3.0
P17252	Q15561	3.0
P17252	Q92908	2.0
P17252	P40426	inf
P17252	Q9Y2Y9	inf
P17252	P56693	2.0
P17252	P48382	3.0
P17252	Q70SY1	inf
P17252	P56270	2.0
P17252	Q92570	3.0
P17252	P09629	3.0
P17252	P09086	inf
P17252	P28347	3.0
P17252	P08651	5.0
P17252	P58012	3.0
P17252	Q96BA8	inf
P17252	P37275	3.0
P17252	Q13952	4.0
P17252	Q13422	2.0
P17252	P19544	3.0
P17252	P05549	2.0
P17252	Q01892	2.0
P17252	Q12968	2.0
P17252	O43623	2.0
P17252	Q15853	2.0
P17252	O95625	3.0
P17252	P52945	2.0
P17252	Q9UKY1	2.0
P17252	O14497	3.0
P17252	Q9H9S0	2.0
P17252	P57682	3.0
P17252	Q03014	3.0
P17252	P11308	3.0
P17252	P11474	3.0
P17252	Q12952	4.0
P17252	Q00577	3.0
P17252	P43694	2.0
P17252	P40425	3.0
P17252	P12980	2.0
P17252	P20265	3.0
P17252	Q9BYV9	3.0
P50552	Q07869	3.0
P50552	Q13330	3.0
P50552	O15516	4.0
P50552	P41182	3.0
P50552	P49711	4.0
P50552	P08047	3.0
P50552	Q9Y618	3.0
P50552	O75444	4.0
P50552	Q03164	3.0
P50552	O60675	5.0
P50552	P35638	4.0
P50552	Q02078	3.0
P50552	P36956	3.0
P50552	Q02447	3.0
P50552	Q16236	3.0
P50552	P25208	4.0
P50552	Q99801	4.0
P50552	P04198	4.0
P50552	Q9UM63	4.0
P50552	Q02962	4.0
P50552	P51692	3.0
P50552	Q16665	3.0
P50552	P26358	4.0
P50552	P03372	2.0
P50552	Q15596	3.0
P50552	Q01543	3.0
P50552	P61244	4.0
P50552	Q15672	3.0
P50552	P48436	3.0
P50552	Q99583	5.0
P50552	Q9Y5W3	inf
P50552	Q06330	3.0
P50552	Q99717	3.0
P50552	Q13950	3.0
P50552	P05412	3.0
P50552	O15525	4.0
P50552	O14770	inf
P50552	P08151	3.0
P50552	Q15233	4.0
P50552	P23511	4.0
P50552	P21675	4.0
P50552	P19793	3.0
P50552	Q13568	4.0
P50552	P10914	4.0
P50552	P25490	3.0
P50552	Q99612	inf
P50552	P10244	4.0
P50552	P06401	3.0
P50552	P49715	3.0
P50552	P25963	3.0
P50552	Q01201	3.0
P50552	O00327	4.0
P50552	P15172	3.0
P50552	P98177	3.0
P50552	P01100	3.0
P50552	Q00613	3.0
P50552	O75469	3.0
P50552	P10071	3.0
P50552	P10242	3.0
P50552	Q13562	4.0
P50552	P18846	3.0
P50552	O15350	3.0
P50552	Q15796	2.0
P50552	P18847	4.0
P50552	Q99814	4.0
P50552	P10275	3.0
P50552	P27540	4.0
P50552	P16220	3.0
P50552	Q13127	7.0
P50552	P19838	3.0
P50552	O94776	4.0
P50552	Q08945	4.0
P50552	P17535	3.0
P50552	Q15329	4.0
P50552	Q9UGL1	4.0
P50552	O43474	3.0
P50552	Q9UJU2	3.0
P50552	P15336	3.0
P50552	P42229	3.0
P50552	Q5VTD9	5.0
P50552	P31269	4.0
P50552	Q15797	2.0
P50552	O75626	4.0
P50552	P26367	4.0
P50552	P15407	4.0
P50552	P20823	3.0
P50552	P22736	3.0
P50552	Q06546	3.0
P50552	P15923	3.0
P50552	P52630	4.0
P50552	P23771	3.0
P50552	O75461	4.0
P50552	P10070	3.0
P50552	Q9UL17	3.0
P50552	P20226	4.0
P50552	P04150	3.0
P50552	O75376	3.0
P50552	P17676	3.0
P50552	O94916	3.0
P50552	Q08050	3.0
P50552	P36402	3.0
P50552	Q9UKL0	6.0
P50552	P67809	3.0
P50552	P32243	5.0
P50552	Q02535	4.0
P50552	Q16656	4.0
P50552	Q01196	3.0
P50552	P10276	3.0
P50552	Q15788	3.0
P50552	O75030	3.0
P50552	Q00653	4.0
P50552	Q12778	2.0
P50552	Q16254	4.0
P50552	Q02548	inf
